title,question,answers
Geology,It is now possible to convert old relative ages into what type of ages using isotopic dating?,"['new absolute', 'absolute ages', 'rock units']"
Paper,Commercial paper is commonly defined by what?,length and width
USB,Why is the ability to boot write-locked SD cards with a USB adapter advantageous for?,"maintaining the integrity and non-corruptible, pristine state of the booting medium."
Philadelphia,What religion did William Penn practice?,Quaker
Predation,How do grass and kelp deal with being grazed upon?,regrows at the base
Melbourne,In how many scenarios will Sydney remain higher than Melbourne in population beyond 2056?,two
Queen_Victoria,What was the marital status of Victoria when she became the queen?,unmarried
Frédéric_Chopin,Who did Chopin know that became rich in Paris?,Albert Grzymała
Canon_law,"Which English term is derived from the same root as the Greek, Arabic and Hebrew words for canon?",cane
Victoria_(Australia),What is the temperature in the highest portion of the mountain range in winter?,"['below 0 °C (32 °F)', 'below 0 °C']"
Nintendo_Entertainment_System,What was the lockout chip number for Asia?,3196
Gene,When can an event called genetic recombination or crossing-over sometimes occur?,During the process of meiotic cell division
Seattle,Where in the Seattle area does Boeing have manufacturing plants?,Everett and Renton
Capacitor,What does the line integral of the electric field between the plates of a capacitor represent?,The voltage
Glacier,Which crevasses form on the edge of the glacier?,Marginal crevasses
Plymouth,On what date did Plymouth become a city?,18 October 1928
Brain,The group of creatures that can sense electric fields is what?,fish
History_of_science,What book did Ibn al-Haytham write?,Book of Optics
Chinese_characters,What also includes a pair of syllabaries?,Written Japanese
England_national_football_team,"When a new edition of England's away kit has been introduced, the kit is sometimes worn during what type of matches?",home matches
Race_and_ethnicity_in_the_United_States_Census,How many ethnic categories are there in the US census?,two
"Santa_Monica,_California",What road does state route 2 begin on?,Santa Monica Boulevard
Israel,Israel withdrew from where?,Sinai Peninsula
Houston,What kind of refineries were built along the Houston ship channel?,Petrochemical
"New_Haven,_Connecticut",What is the name of the art gallery that hosts multiple artist locally and around the world?,Artspace
Dialect,With what social class it the standard dialect commonly associated?,the elite class
New_York_City,"Who commented on New York that ""culture just seems to be in the air, like part of the weather""?",Tom Wolfe
Economy_of_Greece,Who provided a report for Greece in 2005?,OECD
Gene,"When investigating gene expression, what type of genes are used as a control for experiments?",housekeeping genes
"New_Haven,_Connecticut",Under what immediate jurisdiction of the Catholic Church does New Haven fall?,Archdiocese of Hartford
Economy_of_Greece,When did the physical exchange of the drachma to euro take place?,January 2002
Hanover,What is the name of the largest police museum in Germany?,Polizeigeschichtliche Sammlung Niedersachsen
Airport,What does VOR stand for?,VHF omnidirectional range
Tennessee,The principle Bible college of the Free Will Baptists is located in which Tennessee city?,Nashville
Race_and_ethnicity_in_the_United_States_Census,"If M was marked in the color column for a person in the 1850 census, How were they classified?",mulatto
Beyoncé,Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,her mother
Marshall_Islands,What nation lies to the west of the Marshall Islands?,the Federated States of Micronesia
Edmund_Burke,"Which constitution did Burke condemn on May 6, 1791?",French
Southampton,What division do the Tottonians belong to?,London South West division 2
God,What is the tetragrammaton gor God?,YHWH
Asphalt,What sort of deposits does asphalt overlay?,petroleum
Jehovah%27s_Witnesses,When did Russell die?,"October 31, 1916"
Protestantism,How many Protestants are there in the world?,more than 900 million
Pacific_War,What percentage of Japanese merchantmen were sunk by U.S. submarines?,56%
Arena_Football_League,Who owned the Detroit Drive in this period?,Mike Ilitch
Han_dynasty,Who had forced a large number of Empress Dowager Deng's clan members to kill themselves?,Emperor An
History_of_India,After the Rebellion who administered the British provinces of India?,British Crown
John_von_Neumann,In what year did von Neumann publish the paper Numerical Integration of the Barotropic Vorticity Equation,1950
Modern_history,What did Newton's Nataural philosophy replace?,reliance on revelation and inspired truth.
The_Bronx,Who did the Bronx vote against for mayor in 1997?,Rudolph Giuliani
Pope_Paul_VI,What type of work did Paul Vi finish that had been started by two previous popes?,reform
The_Legend_of_Zelda:_Twilight_Princess,What company developed Legend of Zelda: Twilight Princess?,Nintendo
Financial_crisis_of_2007%E2%80%9308,How much was home equity valued in the United States in mid-2008?,$8.8 trillion
United_States_dollar,When was the United States Mint founded?,1792
Capital_punishment_in_the_United_States,What percentage of homicides were committed by Asians between 1980 and 2008?,2.2%
Daylight_saving_time,What time does Saskatoon observe all year long?,Central Standard Time
Ottoman_Empire,The economic goal of the state was to serve as what for the ruler?,consolidation and extension of the ruler's power
Religion_in_ancient_Rome,What did the Augustan settlement signify in Rome's classes?,cultural shift
Space_Race,When was the second landing on the Moon successful?,November 1969
Party_leaders_of_the_United_States_House_of_Representatives,"If minority party loses committ of the whole, then what motion may be filed?",motion to recommit and get a vote on that
Valencia,From what entity was the Albufera bought?,Crown of Spain
Cardinal_(Catholicism),How many suburbicarian sees?,seven
Mexico_City,What is an organization that has a large presence in the city?,National Health Ministry (SSA)
"New_Haven,_Connecticut",There are about how many Zagat-rated restaurants located in the city?,56
Thuringia,What is Hohenwarte Dam?,big pumped storage stations
Karl_Popper,Which classical views about the method of science did Popper reject?,inductivist
Asphalt,What formative period  produced bitumen?,early Cretaceous
Space_Race,The Lunar Module completed its first low Earth orbit on what date?,March 1969
"Tucson,_Arizona",Where does Tuscon rank in terms of the largest city in the U.S. in 2009? ,32nd
Civil_disobedience,What do some civil disobedient people feel the need to acknowledge.,"['punishment', 'accept punishment']"
Avicenna,What is early Islamic metaphysics imbued with?,Islamic theology
Translation,Biblical translations have caused lasting effects on what?,"religions, cultures and languages of their respective countries"
Arnold_Schwarzenegger,What's the name of the comic book character modeled on Schwarzenegger?,the Governator
Web_browser,What can resources have to connect to other resources?,hyperlinks
Pitch_(music),It is possible and often easy to roughly discern the relative pitches of two sounds of what?,indefinite pitch
Plymouth,How many listed buildings are present in the Barbican area?,100
Royal_Dutch_Shell,The appointment of a new CEO in 2014 came prior to what announcement?,the corporation's overall performance in 2013 was 38 per cent lower than 2012
Circadian_rhythm,Which loop that consists of GI and ELF4 functions?,evening
Tuvalu,What does Tuvalu feel its position to be in climate change?,vulnerable
2008_Sichuan_earthquake,Which cities in Sichuan had minor damage?,five largest cities
Electric_motor,What two devices can describe a stepper motor?,DC electric motor and a rotary solenoid
John_Kerry,Which election did Kerry's PAC focus on?,the midterm elections during the 2006 election cycle
Virgil,Who took turns with Virgil to read the Georgics to Octavian?,Maecenas
Szlachta,What does an individual do to attain ennoblement?,special services to the state
Space_Race,The first satellite launched into space used what rocket?,R-7 Semyorka rocket
Bill_%26_Melinda_Gates_Foundation,What compliments the challenge ,This challenge is being complemented by another investment program to develop new technologies for improved pit latrine emptying
East_India_Company,how many ships sailed  from Torbay?,three
Post-punk,What did the new post-punk artists believe?,"""radical content demands radical form"""
Apollo,What rely on presenting scenes directly to the eye for their own visibe sake?,These representations
Crimean_War,What river divides Abkhazia from Georgia?,the Ingur River
Antenna_(radio),What is at the base of the antenna?,loading coil
Umayyad_Caliphate,"In addition to criticism received for employing non-Muslims, for what notable reason did some Muslims criticize the Umayyads?",not reducing the taxes of the people who converted to Islam
